CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
4741,"NON-BLACK, NON-HISPANIC",FEMALE,,5,1963,6.682,2,134404.5,9,10
4742,"NON-BLACK, NON-HISPANIC",FEMALE,28717.96,2,1959,,2,,16,1
4743,"NON-BLACK, NON-HISPANIC",MALE,,4,1959,,2,,,1
4744,"NON-BLACK, NON-HISPANIC",FEMALE,,7,1959,,2,,,2
4745,"NON-BLACK, NON-HISPANIC",FEMALE,,1,1958,41.479,2,,12,8
4746,"NON-BLACK, NON-HISPANIC",FEMALE,54231.67,12,1962,44.275,2,65385.95,12,5
4747,"NON-BLACK, NON-HISPANIC",MALE,0,11,1963,11.038,2,65385.95,12,5
4748,"NON-BLACK, NON-HISPANIC",FEMALE,26508.89,3,1960,40.539,2,,12,3
4749,"NON-BLACK, NON-HISPANIC",FEMALE,22232.12,2,1960,59.535,2,,,5
4750,"NON-BLACK, NON-HISPANIC",MALE,0,3,1961,15.141,2,,12,5
4751,"NON-BLACK, NON-HISPANIC",MALE,,12,1960,12.011,2,30923.92,11,2
4752,"NON-BLACK, NON-HISPANIC",MALE,17672.59,3,1963,60.219,2,43590.63,12,6
4753,"NON-BLACK, NON-HISPANIC",FEMALE,37554.26,9,1958,89.164,2,,16,1
4754,"NON-BLACK, NON-HISPANIC",FEMALE,94990.19,1,1960,87.34901,4,,18,1
4755,"NON-BLACK, NON-HISPANIC",MALE,50808.71,7,1962,56.643,2,127139.3,12,3
4756,"NON-BLACK, NON-HISPANIC",MALE,344973.4,3,1963,,2,116241.7,18,1
4757,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1964,97.971,2,87181.27,16,7
4758,"NON-BLACK, NON-HISPANIC",FEMALE,70690.38,3,1961,84.623,2,54488.29,16,4
4759,"NON-BLACK, NON-HISPANIC",MALE,71794.91,5,1958,41.732,2,71198.03,12,0
4760,"NON-BLACK, NON-HISPANIC",MALE,68481.3,12,1963,95.519,2,83548.71,17,1
4761,"NON-BLACK, NON-HISPANIC",FEMALE,,3,1958,29.897,2,108250.1,12,4
4762,"NON-BLACK, NON-HISPANIC",FEMALE,28165.7,2,1962,39.656,2,127139.3,12,4
4763,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1957,42.234,2,,14,1
4764,"NON-BLACK, NON-HISPANIC",MALE,,2,1960,31.668,0,91903.59,11,3
4765,"NON-BLACK, NON-HISPANIC",MALE,81735.74,10,1963,66.229,2,98078.92,12,3
4766,"NON-BLACK, NON-HISPANIC",FEMALE,58540.46,3,1961,76.971,2,,16,2
4767,"NON-BLACK, NON-HISPANIC",MALE,27613.43,3,1958,,2,39231.57,17,2
4768,"NON-BLACK, NON-HISPANIC",FEMALE,44181.48,11,1959,88.406,2,27244.14,,3
